source,title,url,summary,tags,published,score,Primary,Secondary,group_id,group_size
Business of Fashion,China’s Extended 618 Shopping Festival Fails to Stir Excitement,https://www.businessoffashion.com/news/global-markets/china-618-shopping-festival-fails/,"E-tailers JD.com and Tmall-owner Alibaba have not disclosed the event’s overall sales figures for years, but analysts warn that a recent pause in some government subsidy programmes could weigh on consumption this month.",[],2025-06-19T09:52:19,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,What I’m Looking Forward to at Our Next Executive Roundtable in London,https://www.businessoffashion.com/articles/events/executive-roundtable-london-2025/,"Executive Members are invited to join senior correspondents Sarah Kent and Sheena Butler-Young, along with executive editor Brian Baskin for an informal breakfast discussing Selling to Consumers in Uncertain Times.",[],2025-06-19T14:08:45,7,INDUSTRY,RETAIL STRATEGY,ungrouped,1
Business of Fashion,Mike Ashley’s Frasers Drops Out of Bid For Revolution Beauty,https://www.businessoffashion.com/news/beauty/mike-ashley-frasers-drops-out-bid-revolution-beauty/,"The British fashion group has decided not to go ahead with an offer to buy the ailing cosmetics brand, the company said Thursday.",[],2025-06-20T10:31:31,7,INDUSTRY,M&A,ungrouped,1
Business of Fashion,Why Kering Picked a Fashion Outsider to Be Its Next CEO,https://www.businessoffashion.com/articles/luxury/kering-new-ceo-luca-de-meo-francois-henri-pinault/,"The Gucci and Saint Laurent owner is splitting its chairman and CEO roles, bringing in Luca de Meo, a turnaround expert who has revived multiple automotive brands, to support the Pinault family.",[],2025-06-16T15:46:57,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,How Kiko Milano Built Pricing Power,https://www.businessoffashion.com/articles/beauty/state-of-fashion-beauty-bof-mckinsey-report-kiko-milano-interview-simone-dominici/,"The Italian cosmetics giant has deftly engineered a premiumisation strategy, and has elevated its distribution, product selection and points of differentiation, heavily reducing discounts and promotions in the process. Chief executive Simone Dominici explained how it deployed its strategy in The State of Fashion: Beauty Volume 2.",[],2025-06-24T04:30:00,7,BRAND,"RETAIL STRATEGY, FINANCIALS",ungrouped,1
Business of Fashion,Glossier CEO Kyle Leahy to Exit,https://www.businessoffashion.com/news/beauty/glossier-ceo-kyle-leahy-to-exit/,"After three years as chief executive, Leahy will step down from her role by year-end, and will retain her board seat while assisting the company in finding a successor.",[],2025-06-24T17:27:41,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,The Indie Beauty Brands Transforming Africa’s Hair Care Market,https://www.businessoffashion.com/articles/beauty/the-indie-beauty-brands-transforming-africas-hair-care-market/,"A crop of upstart brands are betting on Africa for their next global expansion, ready to benefit from the continent’s growing middle class. To kick-start Africa’s premium hair care market, they’ll need to carefully consider marketing and retailer strategy, as well create a new value proposition.",[],2024-12-11T09:47:00,7,BRAND,"NEW LAUNCH, RETAIL STRATEGY, MARKETING",ungrouped,1
Beauty Independent,Science-Driven Professional Skincare Brand Epicutis Raises $10M In Series B Funding To Fuel Expansion,https://www.beautyindependent.com/science-driven-professional-skincare-brand-epicutis-raises-10m-series-b-funding/,"Epicutis , the science-driven luxury professional skincare brand, has raised $10 million in series B funding to fuel its next phase of growth. The brand didn’t disclose the investor in its series B round, but described it as a single insider who’s a longstanding board member and was ... The post Science-Driven Professional Skincare Brand Epicutis Raises $10M In Series B Funding To Fuel Expansion appeared first on Beauty Independent .","['Deal Flow', 'clean', 'clinical', 'Epicutis', 'funding', 'investment', 'investor', 'luxury', 'luxury skincare', 'Maxwell Stock', 'med spas', 'professional', 'professional skincare', 'science', 'science-backed skincare', 'series b', 'series B funding', 'series B round', 'skincare', 'spas']",2025-06-26T20:10:58,7,INDUSTRY,FINANCIALS,ungrouped,1
Glossy,Beauty & Wellness Briefing: The beauty supplement market is expanding as beauty and wellness continue to merge,https://www.glossy.co/beauty/the-beauty-supplement-marketplace-is-expanding-as-the-beauty-and-wellness-categories-continue-to-merge/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"This week, I checked in on the burgeoning beauty supplement category. Additionally, Unilever is set to acquire men's personal care leader Dr. Squatch, there's another exec shakeup at Violet Grey, and Beautycounter founder Gregg Renfrew is back with Counter.","['Beauty', 'Wellness', 'Glossy+', 'plus']",2025-06-24T04:05:00,7,INDUSTRY,M&A,ungrouped,1
Beauty Independent,19-Year-Old College Student Launches Beauty Site To Separate Science-Backed Beauty From Marketing BS,https://www.beautyindependent.com/utopia-beauty-site-science-backed-beauty/,"At Utopia Beauty , it’s all about showing the proof. Launched on May 31, the new e-tailer offers about 50 products from 13 beauty brands across skincare, makeup, haircare, body and wellness that are backed by clinical studies. Products with unsubstantiated marketing claims aren’t allowed on ... The post 19-Year-Old College Student Launches Beauty Site To Separate Science-Backed Beauty From Marketing BS appeared first on Beauty Independent .","['Retail Report', 'beauty e-commerce', 'beauty entrepreneurs', 'beauty retail', 'clinical testing', 'e-commerce', 'retail', 'science', 'science-backed beauty', 'Utopia Beauty']",2025-06-25T23:51:21,7,RETAIL,"NEW LAUNCH, GEN Z",ungrouped,1
Business of Fashion,Dôen Raises Series A Funding Led by Silas Capital,https://www.businessoffashion.com/news/retail/doen-raises-series-a-funding-led-by-silas-capital/,The funding round marks the first time the Los Angeles-based womenswear brand raised outside capital after its initial $1 million seed round. The new capital will go towards its retail expansion.,[],2025-06-17T13:00:00,7,BRAND,"FINANCIALS, RETAIL STRATEGY",ungrouped,1
WWD,Givaudan to Acquire Brazilian Fragrance Supplier Vollmens,https://wwd.com/beauty-industry-news/fragrance/givaudan-acquire-brazilian-fragrance-supplier-vollmens-1237954251/,The partnership is expected to strengthen the Swiss fragrance and flavors supplier’s reach in Latin America.,"['Fragrance', 'Givaudan', 'M&A', 'WWDBeautyInc']",2025-06-27T07:19:29,7,INDUSTRY,M&A,ungrouped,1
Business of Fashion,Swiss Watch Exports Slump in May as US Tariffs Shake Market,https://www.businessoffashion.com/news/luxury/swiss-watch-exports-slump-us-tariffs/,"Exports to the US, the sector’s single-biggest market, were down just over 25 percent, underscoring the impact of President Donald Trump’s trade policies.",[],2025-06-19T09:37:54,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Glossy,All the ways conflict between the US and Iran could affect the fashion industry,https://www.glossy.co/fashion/all-the-ways-conflict-between-the-u-s-and-iran-could-affect-the-fashion-industry/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"The main risk that market analysts are predicting is a global rise in energy costs due to the conflict obstructing important shipping lanes, which would disrupt a market where many consumers are already cutting back on discretionary spending.",['Fashion'],2025-06-24T04:04:00,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Glossy,Beating price sensitivity without slashing margins,https://www.glossy.co/sponsored/beating-price-sensitivity-without-slashing-margins/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Rose Murray, senior content editor, Scayle In light of the recent global tariff turmoil and the resulting economic uncertainty, customer loyalty is more fragile than ever. According to Scayle’s 2025 shopper survey, shoppers are gravitating towards a higher level of cost consciousness. As a result, 36% of U.S. consumers admit they would ditch their favorite brand [&#8230;]","['Sponsored', 'Scayle25SBL2']",2025-06-20T17:58:07,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,Swiss Antitrust Authorities Open Investigation Into Nivea Pricing,https://www.businessoffashion.com/news/beauty/swiss-antitrust-authorities-open-investigation-into-nivea-pricing/,"The group known as COMCO said on Tuesday it will investigate the mass skincare brand’s parent company, Beiersdorf, over a pricing dispute with a local retailer.",[],2025-06-25T11:04:27,7,INDUSTRY,RETAIL STRATEGY,ungrouped,1
Business of Fashion,Lululemon Is Cutting 150 Corporate Employees After Review,https://www.businessoffashion.com/news/retail/lululemon-is-cutting-150-corporate-employees-after-review/,"The impacted roles are at the retailer’s store support centres, according to a statement from the company.",[],2025-06-18T15:42:51,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Bernard Arnault Grapples With the Biggest Slump in LVMH’s History,https://www.businessoffashion.com/articles/luxury/bernard-arnault-grapples-with-biggest-slump-in-lvmh-history/,The luxury goods maker is reeling from a sharp downturn in the €364 billion industry — and questions about succession are growing louder.,[],2025-06-19T08:36:52,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Exclusive: Roberto Cavalli CEO to Exit as Owner Seeks Sale,https://www.businessoffashion.com/news/luxury/roberto-cavalli-ceo-exit-owner-seeks-stake-sale/,Sergio Azzolari is stepping down after less than three years at the helm of the Italian label as its Dubai-based owner aims to bring on a strategic partner to support growth at the loss-making brand.,[],2025-06-27T19:02:51,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Opinion: Luxury Is More Resilient Than the Market Suggests,https://www.businessoffashion.com/articles/luxury/opinion-luxury-is-more-resilient-than-the-market-suggests/,"The luxury industry is facing another lost year, according to Bain’s latest luxury update, but investors are being too gloomy on the sector’s long-term prospects, argues Andrea Felsted.",[],2025-06-19T17:27:23,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,"Luxury Sector Will Continue to Slip, Bain Forecasts",https://www.businessoffashion.com/articles/luxury/luxury-sector-will-continue-to-slip-bain-forecasts/,"The market is on pace to contract 2 percent to 5 percent in 2025 as consumption remains soft across key categories — particularly leather goods, makeup and watches — according to the latest forecast from Bain & Company.",[],2025-06-19T10:30:00,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,"Shein to File Confidentially for Hong Kong IPO, Sources Say",https://www.businessoffashion.com/news/retail/shein-to-file-confidentially-for-hong-kong-ipo-sources-say/,"Shein aims to submit the filing confidentially as soon as this week, a source familiar with the matter told Reuters. A second source said the filing was expected to be made by Monday.",[],2025-06-27T21:02:54,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Saks Gets $600 Million Lifeline as Creditors Face Steep Losses,https://www.businessoffashion.com/news/retail/saks-gets-600-million-lifeline-as-creditors-face-steep-losses/,"As part of the arrangement, a group holding a slim majority of the struggling luxury retailer’s $2.2 billion of 11 percent bonds, will provide Saks an immediate $300 million loan, according to deal terms reviewed by Bloomberg.",[],2025-06-27T21:13:08,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,This Week: Nike’s Earnings and Jonathan Anderson’s Dior Debut,https://www.businessoffashion.com/briefings/retail/this-week-nikes-earnings-and-jonathan-andersons-dior-debut/,"In their own ways, both companies will provide major updates on how they plan to win back customers.",[],2025-06-22T12:00:00,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Temu US Sales Plunge 25% Amid Tariff Barrage,https://www.businessoffashion.com/news/retail/temu-us-slaes-drop-tariffs-shein/,"Temu’s US sales are declining due to significant cuts in advertising spending, a direct consequence of new tariffs, while Shein’s sales have begun to recover.",[],2025-06-20T09:47:47,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,What the Israel-Iran Conflict Could Mean for Fashion,https://www.businessoffashion.com/briefings/global-markets/what-the-israel-iran-conflict-could-mean-for-fashion/,"While a ceasefire is in place, shipping, supply chains and consumer sentiment remain threatened as tensions in the Middle East persist.",[],2025-06-27T14:25:11,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,The ‘Silicon Valleys’ of Beauty Brace for Tariffs,https://www.businessoffashion.com/articles/beauty/korea-australia-niche-beauty-capital-hubs/,"From Seoul to Melbourne, new cities are emerging as frontrunners in the beauty start-up space. The independent brands created in these hubs are fast becoming hot acquisition targets, but understanding the limits of their global appeal is key.",[],2025-06-25T04:00:00,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,"Inside Gap’s Last-Ditch, Tariff-Addled Turnaround Push",https://www.businessoffashion.com/articles/retail/inside-gaps-last-ditch-tariff-addled-turnaround-push/,The iconic ’90s retailer was on the precipice of death for years. Richard Dickson finally had momentum for a comeback — then came Trump.,[],2025-06-24T16:54:00,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,Customers Want Beauty Brands to Prove Their Worth,https://www.businessoffashion.com/articles/beauty/state-of-fashion-beauty-report-value-price-mass-brands/,"As beauty customers grow more selective and cost-conscious, brands must demonstrate a clear and ownable value proposition, regardless of price, according to the BoF-McKinsey State of Fashion: Beauty report Volume 2.",[],2025-06-18T04:00:00,7,INDUSTRY,RETAIL STRATEGY,ungrouped,1
Business of Fashion,Forever 21’s US Operator Wins Court Approval to Liquidate,https://www.businessoffashion.com/news/retail/forever-21s-us-operator-wins-court-approval-to-liquidate/,The embattled fast-fashion company's repayment plan includes a settlement with lenders and former Forever 21 parent Sparc Group that’s designed to boost recoveries for unsecured creditors that stood to get pennies on the dollar.,[],2025-06-24T21:45:17,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Nike Fourth-Quarter Sales Fall by Less Than Expected,https://www.businessoffashion.com/news/retail/nike-fourth-quarter-sales-fall-by-less-than-expected/,"CEO Elliott Hill said the company is making progress in its turnaround effort, though a return to growth will take time.",[],2025-06-26T22:22:02,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Fashion’s Suppliers Want More Say on Climate Action,https://www.businessoffashion.com/news/sustainability/fashion-sustainability-manufacturers-climate-apparel-textile-transformation-initative/,"A new initiative led by apparel and textile manufacturers aims to give suppliers a bigger voice at the table. At present, “brands just make a statement and then expect us to pay the bill for it,’ said Bangladesh-based manufacturer Miran Ali.",[],2025-06-26T16:21:30,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,How Turkish Brands Conquered the ‘Rest of the World’,https://www.businessoffashion.com/articles/global-markets/lc-waikiki-koto-defacto-global-markets-turkey/,"Turkish fast-fashion giants LC Waikiki, Koton and DeFacto have rolled out hundreds of stores in high-growth, high-risk frontier markets like Albania, Uganda and Mongolia where rivals H&amp;M and Zara have little or no presence.",[],2025-06-24T14:21:53,7,INDUSTRY,RETAIL STRATEGY,ungrouped,1
Business of Fashion,Unilever to Acquire Men’s Personal Care Brand Dr. Squatch,https://www.businessoffashion.com/news/beauty/unilever-acquires-dr-squatch/,"The consumer goods giant announced on Monday that it had signed a definitive agreement to acquire the American men’s brand, known for its soaps and grooming products.",[],2025-06-23T19:02:14,7,INDUSTRY,M&A,ungrouped,1
Business of Fashion,US Strikes on Iran Come at Fragile Moment for the Global Economy,https://www.businessoffashion.com/news/global-markets/us-strike-iran-global-trade-economy-impact/,"The outlook now hinges on how forcefully the Islamic Republic retaliates, with any trade disruptions caused by a further escalation of the conflict acting as yet another brake on the world economy.",[],2025-06-22T20:03:21,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,‘Transform or Die’: Can a Turnaround Expert Turn Kering Around?,https://www.businessoffashion.com/opinions/luxury/transform-or-die-can-a-turnaround-expert-turn-kering-around/,"Luca De Meo’s appointment as the French group’s chief executive is an admission of the seriousness of the crisis the company is facing, as well as a signal of its intent to do something about it, writes Imran Amed.",[],2025-06-20T19:00:00,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,"Worldview | Iran-Israel War Disrupts Local Businesses, Poses Global Risks",https://www.businessoffashion.com/articles/global-markets/worldview-iran-israel-war-disrupts-local-businesses-poses-global-risks/,"This week’s round-up of global markets fashion business news also features JD.com’s turnaround plan, pan-African e-commerce giant Jumia and Ecuador’s crackdown on Chinese e-tailers.",[],2025-06-24T14:59:40,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,The Fashion and Beauty Opportunity on Snapchat in the Gulf,https://www.businessoffashion.com/articles/marketing-pr/fashion-and-beauty-brand-opportunity-on-snapchat-in-gcc-gulf-region-hussein-freijeh-interview/,"BoF sits down with Snap Inc.’s vice president and general manager of the Middle East, Hussein Freijeh, to learn more about the changing social media landscape in the Gulf, its impact on consumer behaviour, and the new opportunities it presents for fashion and beauty brands to reach audiences in the region.",[],2025-06-24T05:00:01,6,MARKETING,"GEN Z, RETAIL STRATEGY",ungrouped,1
Glossy,"Glossy Podcast: Kering’s new CEO, FIFA’s luxury bid, France’s anti-fast-fashion bill — and a conversation with Warby Parker’s Kim Nemser",https://www.glossy.co/podcasts/glossy-podcast-kerings-new-ceo-fifas-luxury-bid-frances-anti-fast-fashion-bill-and-a-conversation-with-warby-parkers-kim-nemser/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Our editor-in-chief, Jill Manoff, sits down with Warby Parker’s chief product and supply chain officer, Kim Nemser. The conversation covers Warby Parker’s omnichannel strategies, with a particular focus on how it’s integrating AI into many of its back-end operations.","['Fashion', 'Podcasts']",2025-06-20T04:00:00,6,BRAND,"AI, RETAIL STRATEGY",ungrouped,1
Business of Fashion,"River Island Plans to Close 33 Stores, Putting Hundreds of Jobs at Risk",https://www.businessoffashion.com/news/retail/river-island-plans-to-close-33-stores-putting-hundreds-of-jobs-at-risk/,CEO Ben Lewis said the British fashion company would try to 'keep [job losses] to a minimum.’,[],2025-06-20T20:12:02,6,RETAIL,FINANCIALS,ungrouped,1
Business of Fashion,Exclusive: Skims’ Plan for Global Domination,https://www.businessoffashion.com/articles/retail/skims-plan-for-global-domination/,"Kim Kardashian’s shapewear brand is preparing to enter many new markets in the US and, increasingly, globally. CEO Jens Grede spoke with The Business of Fashion about his vision to create ‘the Apple store of apparel.’",[],2025-06-23T04:00:00,6,BRAND,"RETAIL STRATEGY, GEN Z",ungrouped,1
Business of Fashion,Umit Benan Is Back,https://www.businessoffashion.com/reviews/luxury/umit-benan-is-back-new-collection/,"With a new Davide De Giglio-backed venture offering ‘bespoke prêt-à-porter,’ the master tailor is once again in the spotlight and will unveil a new collection and retail concept on Friday in Milan.",[],2025-06-20T04:30:00,6,BRAND,"NEW LAUNCH, RETAIL STRATEGY",ungrouped,1
Glossy,Glossy Pop Newsletter: Sabrina Carpenter’s music videos are the new billboard for beauty brands,https://www.glossy.co/beauty/glossy-pop-newsletter-sabrina-carpenters-music-videos-are-the-new-billboard-for-beauty-brands/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Music videos are the hot new place for beauty and fashion brands to show up. In Sabrina Carpenter and Addison Rae videos, brands like Prada Beauty, Supergoop and Free People are making the most of the opportunity.","['Beauty', 'Fashion', 'Pop', 'RevolutionBrandMarketingContentful']",2025-06-27T04:02:00,6,MARKETING,"PARTNERSHIP, GEN Z",ungrouped,1
WWD,"From Goop’s This Smells Like My Vagina Candle to Scents Influenced by Erotic Literature, Sex-inspired Fragrances Continue to Dominate",https://wwd.com/beauty-industry-news/fragrance/sex-inspired-fragrances-1237899470/,"While fragrance and sensuality have been synonymous for centuries, a new crop of brands, technologies and notes are taking things to the next level.","['Fragrance', 'Firmenich', 'fragrance', 'Givaudan']",2025-06-27T13:00:00,6,FRAGRANCE,NEW LAUNCH,ungrouped,1
Business of Fashion,"Retail Emerges as Most Distressed Sector in Europe, Report Says",https://www.businessoffashion.com/news/retail/retail-emerges-as-most-distressed-sector-in-europe-report-says/,"Retail is suffering from weak discretionary spending, margin compression and tightening credit conditions, pushing distress in the sector to the highest level since the global financial crisis in 2009.",[],2025-06-26T10:13:07,6,RETAIL,FINANCIALS,ungrouped,1
Business of Fashion,"Can Korean Fashion Be as Big as K-Beauty, or K-Pop?",https://www.businessoffashion.com/articles/global-markets/korean-fashion-post-archive-faction-gentle-monster/,"K-fashion made significant inroads in becoming a part of a global fashion conversation in 2025, with brands like Post Archive Faction and Gentle Monster grabbing attention. But scaling the category to become as big as other cultural exports remains challenging.",[],2025-06-26T04:30:00,6,BRAND,"NEW LAUNCH, GEN Z",ungrouped,1
Business of Fashion,Amazon’s Premium Beauty Push May Be a Buffer Against Trump’s Tariffs,https://www.businessoffashion.com/news/beauty/amazons-premium-beauty-push-may-be-a-buffer-against-trumps-tariffs/,"The Seattle-based e-commerce company is betting that sales growth in its beauty category, which includes Estée Lauder’s Clinique, Olaplex and L’Oréal’s Urban Decay, will offset the impact of tariffs on its upcoming Prime Day event.",[],2025-06-23T14:02:47,6,RETAIL,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,Strategic Reinvention: Growing a Beauty Brand with Staying Power,https://www.businessoffashion.com/articles/beauty/strategic-reinvention-growing-a-beauty-brand-with-staying-power-front-row-tatcha-the-business-of-beauty-global-forum-interview/,"At The Business of Beauty Global Forum, Front Row’s chief revenue officer Christopher Skinner and Tatcha’s chief marketing officer Nicole Frusci joined BoF’s Alice Gividen on stage to explore building a lasting beauty business in an ever-changing market.",[],2025-06-18T04:00:00,6,BRAND,"MARKETING, RETAIL STRATEGY",ungrouped,1
Business of Fashion,"Ulta Beauty Chief Financial Officer to Depart, Interim Leader Appointed",https://www.businessoffashion.com/news/beauty/ulta-beauty-chief-financial-officer-to-depart-interim-leader-appointed/,The American cosmetics retailer said on Wednesday that longtime financial executive Chris Lialios will serve as interim chief financial officer until it finds a suitable replacement for outgoing CFO Paula Oyibo.,[],2025-06-25T14:23:34,6,RETAIL,FINANCIALS,ungrouped,1
Business of Fashion,Beautycounter Would Like To Reintroduce Itself,https://www.businessoffashion.com/articles/beauty/gregg-renfrew-beautycounter-comeback/,"Back under the ownership of founder Gregg Renfrew, the beauty label will relaunch on June 25 as Counter, keeping its clean formulations and giving up its MLM-style compensation model in favor of “community commerce.” Renfrew talks exclusively to The Business of Beauty about her vision for the new brand.",[],2025-06-18T00:14:52,6,BRAND,"NEW LAUNCH, RETAIL STRATEGY",ungrouped,1
Business of Fashion,US Retail Sales Post Biggest Drop in Four Months,https://www.businessoffashion.com/news/retail/us-retail-sales-post-biggest-drop-in-four-months/,"US retail sales declined more than anticipated last month, though clothing sales rose by 0.1 percent between April and May.",[],2025-06-17T16:31:12,6,RETAIL,FINANCIALS,ungrouped,1
Glossy,"Glossy Podcast: NBA Draft fashion, Skims x Cavalli and LVMH’s flip-flops — plus,  Lisa Yamner Green on the launch of Daydream",https://www.glossy.co/podcasts/glossy-podcast-nba-draft-fashion-skims-x-cavalli-and-lvmhs-flip-flops-plus-lisa-yamner-green-on-the-launch-of-daydream/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"This week on the Glossy Podcast: NBA Draft fashion goes luxury, Skims taps the Cavalli archive, men’s flip flops hit the runway and Daydream’s Lisa Yamner Green shares how AI is reshaping fashion discovery.","['Fashion', 'Podcasts']",2025-06-27T04:00:00,6,MARKETING,"PARTNERSHIP, GEN Z",ungrouped,1
WWD,"Grasse’s Scent of Success Blends Past, Present and Future",https://wwd.com/beauty-industry-news/fragrance/grasse-france-perfume-capital-sustainable-luxury-1237914214/,"The southern French town, known as the birthplace of modern perfumery, is rising again.","['Fragrance', 'Dior', 'Lancôme', 'WWDBeautyInc']",2025-06-27T04:01:00,6,FRAGRANCE,NEW LAUNCH,ungrouped,1
Glossy,Luxury Briefing: Can Jonathan Anderson turn Dior’s best-selling Book Tote into a fresh growth engine?,https://www.glossy.co/fashion/luxury/luxury-briefing-can-jonathan-anderson-turn-diors-best-selling-book-tote-into-a-fresh-growth-engine/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"In this week's luxury briefing, a look at the revival of Dior's book tote. Also, a new shopping app that claims to fuel brand loyalty, the latest executive moves from Miu Miu and YNAP, and news to know.","['Fashion', 'Luxury', 'Glossy+', 'plus']",2025-06-25T04:02:00,6,BRAND,"NEW LAUNCH, RETAIL STRATEGY",ungrouped,1
